,precision,recall,f1-score,support
WALKING,0.9163265306122449,0.905241935483871,0.9107505070993914,496.0
WALKING_UPSTAIRS,0.8898678414096917,0.8577494692144374,0.8735135135135135,471.0
WALKING_DOWNSTAIRS,0.8917748917748918,0.9809523809523809,0.9342403628117913,420.0
SITTING,0.8450363196125908,0.7107942973523421,0.7721238938053098,491.0
STANDING,0.8030560271646859,0.8890977443609023,0.8438893844781445,532.0
LAYING,0.9962894248608535,1.0,0.9981412639405205,537.0
accuracy,0.8903970139124533,0.8903970139124533,0.8903970139124533,0.8903970139124533
macro avg,0.8903918392391598,0.8906393045606557,0.8887764876081118,2947.0
weighted avg,0.8908439862791877,0.8903970139124533,0.888904618901919,2947.0
