Experiment,Number of channels,Accuracy,Macro F1,Macro F1 loss vs combined,Relative F1 loss (%)
Combined sensors,9,0.9168646080760094,0.9173402023161441,0.0,0.0
Accelerometer only,6,0.8903970139124533,0.8887764876081118,0.028563714708032317,3.113753723636367
Gyroscope only,3,0.5751611808618935,0.5034995630655242,0.41384063925061987,45.113103972303335
