,precision,recall,f1-score,support
WALKING,0.9731404958677686,0.9495967741935484,0.9612244897959183,496.0
WALKING_UPSTAIRS,0.9462809917355371,0.9723991507430998,0.9591623036649215,471.0
WALKING_DOWNSTAIRS,0.9414414414414415,0.9952380952380953,0.9675925925925926,420.0
SITTING,0.8138528138528138,0.7657841140529531,0.789087093389297,491.0
STANDING,0.832391713747646,0.8308270676691729,0.8316086547507056,532.0
LAYING,0.9907749077490775,1.0,0.995366079703429,537.0
accuracy,0.9168646080760094,0.9168646080760094,0.9168646080760094,0.9168646080760094
macro avg,0.9163137273990475,0.9189742003161449,0.9173402023161441,2947.0
weighted avg,0.9155960933966714,0.9168646080760094,0.9159453114476092,2947.0
