,precision,recall,f1-score,support
WALKING,0.9372093023255814,0.8125,0.8704103671706264,496.0
WALKING_UPSTAIRS,0.914572864321608,0.772823779193206,0.8377445339470656,471.0
WALKING_DOWNSTAIRS,0.7025089605734767,0.9333333333333333,0.8016359918200409,420.0
SITTING,0.0,0.0,0.0,491.0
STANDING,0.0,0.0,0.0,532.0
LAYING,0.3435897435897436,0.9981378026070763,0.5112064854554125,537.0
accuracy,0.5751611808618935,0.5751611808618935,0.5751611808618935,0.5751611808618935
macro avg,0.4829801451350683,0.5861324858556026,0.5034995630655242,2947.0
weighted avg,0.4666376276883334,0.5751611808618935,0.48778629686449687,2947.0
