Activity,Accelerometer only,Gyroscope only,Combined sensors
WALKING,0.9107505070993914,0.8704103671706264,0.9612244897959183
WALKING_UPSTAIRS,0.8735135135135135,0.8377445339470656,0.9591623036649215
WALKING_DOWNSTAIRS,0.9342403628117913,0.8016359918200409,0.9675925925925926
SITTING,0.7721238938053098,0.0,0.789087093389297
STANDING,0.8438893844781445,0.0,0.8316086547507056
LAYING,0.9981412639405205,0.5112064854554125,0.995366079703429
