,precision,recall,f1-score,support
LAYING,1.0,1.0,1.0,282.0
SITTING,0.9763779527559056,0.9649805447470817,0.9706457925636007,257.0
STANDING,0.9676258992805755,0.9781818181818182,0.972875226039783,275.0
WALKING,1.0,1.0,1.0,245.0
WALKING_DOWNSTAIRS,1.0,1.0,1.0,197.0
WALKING_UPSTAIRS,1.0,1.0,1.0,215.0
accuracy,0.9898028552005439,0.9898028552005439,0.9898028552005439,0.9898028552005439
macro avg,0.9906673086727468,0.9905270604881501,0.9905868364338973,1471.0
weighted avg,0.9898207043918599,0.9898028552005439,0.9898005818149462,1471.0
